Better for you Options,DaD Selling price,Rock bottom,Tag,Vendor,,
Wholewheat Schezwan Vegetable Roll - Half,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Wholewheat Veg Cheese Sandwich - Single,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Wholewheat Spinach and Corn Cheese Roll - Single,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Whole Wheat Vada Pav,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Baked Vegetable Samosa,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Baked Aloo Samosa,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Whole Wheat Paneer Tikka Sandwich - Single,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Whole Wheat Corn Cheese Sandwich - Single,88,80,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Wholewheat Mexican Patty Burger,176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Wholewheat Vegetable Patty Burger,176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Amaranth Patty Burger,176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Vegetable Pizza(6 Inches),176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Whole Wheat Stuffed Masala Bun,176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Whole wheat Stuffed Falafel Pita,176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Wholewheat Chettinad Paneer Roll - Half,176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Wholewheat Mughlai Paneer Roll - Half,176,160,Healthy - Savoury,HealthyChef,Box + tissue + ketchup,20
Samosa,28.6,26,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Aloo Bun,48.4,44,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Veg Puff,48.4,44,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Andhra Khara Bun,59.4,54,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Fried Veg Roll,59.4,54,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Kulcha Bun,59.4,54,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Baby Corn Puff,68.2,62,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Cheese Pizza Muffin,68.2,62,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Gobi Masala Puff,68.2,62,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Pizza Muffin,68.2,62,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Mix Veg Sandwich,77,70,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Corn And Spinach Sandwich,77,70,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Aloo Dahi Puff,79.2,72,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Special Roll,79.2,72,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Chilli Panner Comb,88,80,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Veg Burger,88,80,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Veg Mushroom Puff,90.2,82,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Butter Garlic Bun,96.8,88,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Korean Bun,116.6,106,Savoury,Cakewala RT Nagar,Box + tissue + ketchup,20
Bombay Khari,22,20,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Aloo Bun,55,50,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Concus Pizza,55,50,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Veg Puff,55,50,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Baby Donut[Dark],66,60,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Baby Donut[White],66,60,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Mushroom Bun,66,60,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Andhra Khara Bun,66,60,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Black Channa Puff,77,70,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Channa Masala Puff,77,70,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Hot & Spicy Peanut Bun,77,70,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Baby Corn Puff,77,70,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Fried Veg Roll,77,70,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Multigrain Masala Toast,77,70,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Veg Roll,77,70,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Paneer Bun,88,80,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Aloo Dhai Puff,88,80,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Kulcha Bun,88,80,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Special Roll,88,80,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Multigrain Coselaw Sandwich,99,90,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Veg Keema Puff,99,90,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Veg Keema Samosa,99,90,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Chilli Paneer Comb,99,90,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
Paneer Strudle,99,90,Savoury,Cakewala Jayanagar,Box + tissue + ketchup,20
