Items,Category,11 x 4.5 x 2.5 inch box - Bougenvilla,13.5 x 7 x 3.5 inch box - Blue,10 x 10 x 3 w/o cavity - Jaipur palace,10.5 x 9 x 3.75 Pop Out Box,8.5x5x2.5 Rigid Box,11x7.5x2.5 Rigid Box With Perforation,MDF Tray 16x10,Price per unit,Rock Bottom,Vendor,Unnamed: 12,Tag,Length (INCH),Breadth (INCH),Height (INCH),Primary Packaging,Secondary Packaging
Baked Mathri Hexagon 70g,Inside Item,yes,yes,yes,yes,yes,yes,yes,60.72,50.6,,Food - Savoury,Food,2.5,2.3,4.0,Plastic pouch,Hexagon box
Guntur Piri Piri Crisp Hexagon 50g,Inside item,yes,yes,yes,yes,yes,yes,yes,69.84,58.2,,Food - Savoury,Food,2.5,2.3,4.0,Plastic pouch,Hexagon box
Achari Aam Crackers Hexagon 70g,Inside item,yes,yes,yes,yes,yes,yes,yes,80.16,66.8,,Food - Savoury,Food,2.5,2.3,4.0,Plastic pouch,Hexagon box
Cinnamon Hot Chocolate Hexagon 70g,Inside item,yes,yes,yes,yes,yes,yes,yes,169.26,141.05,,Food - Gourmet,Food,2.5,2.3,4.0,Plastic pouch,Hexagon box
Gingerbread Cookie 70g Hexagon,Inside item,yes,yes,yes,yes,yes,yes,yes,122.28,101.9,,Food - Sweet,Food,2.5,2.3,4.0,Plastic pouch,Hexagon box
Cinnamon Snap Sticks Hexagon 50g,Inside item,yes,yes,yes,yes,yes,yes,yes,71.04,59.2,,Food - Sweet,Food,2.5,2.3,4.0,Plastic pouch,Hexagon box
Cheesy Chaand Crunch Hexagon 50g,Inside item,yes,yes,yes,yes,yes,yes,yes,102.96,85.8,,Food - Savoury,Food,2.5,2.3,4.0,Plastic pouch,Hexagon box
Besan Laddoo Cookies Tin 100g,Inside item,no,yes,yes,no,no,no,yes,250.68,208.9,,Food - Sweet,Food,3.0,3.0,5.0,"Gold foil, Cookie Tray, Plastic pouch",Tin
Achari Aam Crackers Tin 100g,Inside item,no,yes,yes,no,no,no,yes,181.74,151.45,,Food - Sweet,Food,3.0,3.0,5.0,Plastic pouch,Tin
Rava Laddoo Cookies Tin 100g,Inside item,no,yes,yes,no,no,no,yes,278.28,231.9,,Food - Sweet,Food,3.0,3.0,5.0,"Gold foil, Cookie Tray, Plastic pouch",Tin
Cheesy Chaand Crunch Tin 100g,Inside item,no,yes,yes,no,no,no,yes,253.08,210.9,,Food - Savoury,Food,3.0,3.0,5.0,Plastic pouch,Tin
Guntur Peri Peri Crisps Tin100g,Inside item,no,yes,yes,no,no,no,yes,186.84,155.7,,Food - Savoury,Food,3.0,3.0,5.0,Plastic pouch,Tin
Cinnamon Snap Sticks Tin100g,Inside item,no,yes,yes,no,no,no,yes,189.3,157.75,,Food - Sweet,Food,3.0,3.0,5.0,Plastic pouch,Tin
Nawabi Nuts Tin100g,Inside item,no,yes,yes,no,no,no,yes,483.0,402.5,,Food - Nuts,Gourmet item,3.0,3.0,5.0,Plastic pouch,Tin
Savoury Millet Cracker Tin 100g,Inside item,no,yes,yes,no,no,no,yes,243.78,203.15,,Food - Savoury,Food,3.0,3.0,5.0,Plastic pouch,Tin
Khara Cookie Tin 100g,Inside item,no,yes,yes,no,no,no,yes,188.04,156.7,,Food - Savoury,Food,3.0,3.0,5.0,Plastic pouch,Tin
Indian Gourmet Chocolate pack of 2,Inside item,yes,yes,yes,yes,yes,yes,yes,80.28,66.9,,Chocolate,Food,3.0,1.5,1.5,"Gold foil, Sticker",Pack of 2 box
Indian Gourmet Chocolate pack of 4,Inside item,yes,yes,yes,yes,yes,yes,yes,149.52,124.6,,Chocolate,Food,3.0,3.0,1.5,"Gold foil, Sticker",Pack of 4 box
Combo of 2 Indian Gourmet Chocolate And 2 tealight Candle,Inside item,yes,yes,yes,yes,yes,yes,yes,150.96,125.8,,Chocolate,Food,3.0,3.0,1.5,"Gold foil, Sticker",Pack of 4 box
Pack of 6 Cracker Chocolate (6x4x1),Inside item,no,yes,yes,yes,no,yes,yes,409.14,340.95,,Chocolate,Food,6.0,4.5,1.5,"Gold foil, Sticker",Box
Pack of 4 Cracker Chocolate,Inside item,yes,yes,yes,yes,yes,yes,yes,127.38,106.15,,Chocolate,Food,3.0,3.0,1.5,"Gold foil, Sticker",Box
Combo of 2 Cracker Chocolate And 2 Tealight Candle,Inside item,yes,yes,yes,yes,yes,yes,yes,72.66,60.55,,Chocolate,Food,3.0,1.5,1.5,"Gold foil, Sticker",Box
Khara Cookies 20g Pouch,Inside item,yes,yes,yes,yes,yes,yes,yes,46.02,38.35,,Food - Savoury,Food,2.5,2.5,4.0,Gold foil,Pouch
Khara Cookies 20g Pouch,Inside item,yes,yes,yes,yes,yes,yes,yes,37.26,31.05,,Food - Savoury,Food,2.5,2.5,4.0,,Pouch
Millet Cookies 20g Pouch,Inside item,yes,yes,yes,yes,yes,yes,yes,42.9,35.75,,Food - Sweet,Food,2.5,2.5,4.0,,Pouch
Crackly Almonds And Oats Cookies 20g Pouch,Inside item,yes,yes,yes,yes,yes,yes,yes,54.3,45.25,,Food - Sweet,Food,2.5,2.5,4.0,,Pouch
Coffee Bites 20g Pouch,Inside item,yes,yes,yes,yes,yes,yes,yes,38.52,32.1,,Food - Sweet,Food,2.5,2.5,4.0,,Pouch
Farmley Mixed Nuts 21g,Inside item,yes,yes,yes,yes,yes,yes,yes,135.0,112.5,,Food - Nuts,Gourmet item,2.5,2.5,5.5,,Pouch
Teabox Tea Pouch,Inside item,yes,yes,yes,yes,yes,yes,yes,42.0,35.0,,Food - Gourmet,Gourmet item,3.0,3.0,3.5,,Pouch
Elephants Tealight Holder,Inside item,yes,yes,yes,yes,yes,yes,yes,78.0,65.0,,Merchandise,Merchandise,4.0,2.0,2.7,,
Functional Tote Bag,Inside item,no,yes,yes,yes,no,no,yes,366.0,305.0,,Merchandise,Merchandise,12.0,,15.0,,
MDF Tray 16x10,Hamper Box,,,,,,,,1962.0,1635.0,,Hamper,Merchandise,16.0,10.0,2.0,,
Autistic Society Diya,Inside item,yes,yes,yes,yes,yes,yes,yes,149.52,124.6,,Merchandise,Merchandise,,,,,
Lasercut Metal Lantern,Inside item,yes,yes,yes,yes,yes,yes,yes,360.0,300.0,,Merchandise,Merchandise,2.5,2.5,4.0,,
Craft Lantern,Inside item,yes,yes,yes,yes,yes,yes,yes,22.2,18.5,,Merchandise,Merchandise,3.5,2.5,1.0,,
LED tealight candle (Neha) w/o box,Inside item,yes,yes,yes,yes,yes,yes,yes,51.0,42.5,,Candle,Merchandise,1.5,1.5,2.0,,
11 x 4.5 x 2.5 inch box - Bougenvilla,Hamper Box,,,,,,,,336.0,280.0,,Hamper,Hamper,11.0,4.5,2.5,,
13.5 x 7 x 3.5 inch box - Blue,Hamper Box,,,,,,,,630.0,525.0,,Hamper,Hamper,13.5,7.0,3.5,,
10 x 10 x 3 w cavity - Jaipur palace,Hamper Box,,,,,,,,894.0,745.0,,Hamper,Hamper,10.0,10.0,3.0,,
10 x 10 x 3 w/o cavity - Jaipur palace,Hamper Box,,,,,,,,660.0,550.0,,Hamper,Hamper,10.0,10.0,3.0,,
Greeting Card,Inside item,yes,yes,yes,yes,yes,yes,yes,12.0,10.0,,Card,Merchandise,5.7,4.0,0.0,,
Auspicious Lasercut Lantern,Inside item,yes,yes,yes,yes,yes,yes,yes,510.0,425.0,,Merchandise,Merchandise,4.0,4.0,3.0,,
Flower Diya,Inside item,yes,yes,yes,yes,yes,yes,yes,120.0,100.0,,Merchandise,Merchandise,3.0,3.0,1.0,,
Plain Tealight Candle w/o box,Inside item,yes,yes,yes,yes,yes,yes,yes,6.0,5.0,,Candle,Merchandise,1.5,1.5,0.5,,
Plain Tealight Candle (pack of 4),Inside item,yes,yes,yes,yes,yes,yes,yes,41.52,34.6,,Candle,Merchandise,3.0,3.0,1.5,,Pack of 4 Box
Clay Diya,Inside item,yes,yes,yes,yes,yes,yes,yes,66.0,55.0,,Merchandise,Merchandise,2.5,2.5,1.3,,
Plain Tealight Candle (pack of 2),Inside item,yes,yes,yes,yes,yes,yes,yes,24.84,20.7,,Candle,Merchandise,3.0,1.5,1.5,,Pack of 2 box
Metal diya,Inside item,yes,yes,yes,yes,yes,yes,yes,30.0,25.0,,Merchandise,Merchandise,2.5,2.0,0.5,,
10.5 x 9 x 3.75 Pop Out Box,Hamper Box,,,,,,,,681.6,568.0,,Hamper,Hamper,10.5,9.0,3.75,,
Peacock Paper Lamp open,Inside item,yes,yes,yes,yes,yes,yes,yes,42.0,35.0,,Merchandise,Merchandise,4.0,4.0,1.5,,
Peacock Paper Lamp folded,Inside item,no,yes,yes,yes,yes,yes,yes,42.0,35.0,,Merchandise,Merchandise,7.0,5.5,0.0,,
Plantable Notebook (Marigold seeds),Inside item,no,yes,yes,yes,no,yes,yes,210.0,175.0,,Merchandise,Merchandise,8.0,5.5,0.5,,
Block Print Diya,Inside item,no,yes,yes,yes,no,yes,yes,282.0,235.0,,Merchandise,Merchandise,4.1,4.1,1.0,,
8.5x5x2.5 Rigid Box,Hamper Box,,,,,,,,351.6,293.0,,Hamper,Hamper,8.5,5.0,2.5,,
11x7.5x2.5 Rigid Box With Perforation,Hamper Box,,,,,,,,554.4,462.0,,Hamper,Hamper,11.0,7.5,2.5,,
Combo of 1 LED Tealight and 1 Plain Tealight,Inside item,yes,yes,yes,yes,yes,yes,yes,69.84,58.2,,Candle,Merchandise,3.0,1.5,1.5,,
Farmley Smoked BBQ Nuts 22g,Inside item,,,,,,,,132.0,110.0,,,Nuts,2.5,2.5,5.5,,Pouch
2x2 Handprinted Diya (Autistic),Inside item,,,,,,,,42.0,35.0,,,Merchandise,2.0,2.0,1.3,,
