item,cost,x6,x5
Baked Mathri hexagon 70g,10.12,60.72,50.6
Guntur Piri Piri hexagon 50g,11.64,69.84,58.2
Achari Hexagon 70g,13.36,80.16,66.8
Cinnamon hot chocolate Hexagon 70g,28.21,169.26,141.05
Gingerbread cookie 70g hexagon,20.38,122.28,101.9
Cinnamon Snap Sticks hexagon 50g,11.84,71.04,59.2
Cheesy Chaand Crunch hexagon 50g,17.16,102.96,85.8
Besan Laddoo Cookies  tin 100g,41.78,250.68,208.9
Achari Aam Crackers tin 100g,30.29,181.74,151.45
Rava Laddoo Cookies tin 100g,46.38,278.28,231.9
Khara cookies tin 60g,25.09,150.54,125.45
Guntur Piri Piri tin 60g,24.97,149.82,124.85
Guntur Peri Peri Crisp tin 60g,23.69,142.14,118.45
Savoury millet cacker tin 60g,30.66,183.96,153.3
Cheesy Chaand Crunch tin 100g,42.18,253.08,210.9
Guntur Peri Peri Crisps tin100g,31.14,186.84,155.7
Cinnamon Snap Sticks tin100g,31.55,189.3,157.75
Nawabi Nuts tin100g,80.5,483,402.5
Savoury Millet Cracker tin 100g,40.63,243.78,203.15
Khara Cookie tin 100g,31.34,188.04,156.7
Indian Gourmet Chocolate pack of 2,13.38,80.28,66.9
Indian Gourmet Chocolate pack fo 4,24.92,149.52,124.6
Combo of 2 Indian Gourmet Chocolate and 2 tea light candle,25.16,150.96,125.8
"Truffle (pack of 9) (Nutella, coconut, coffee almond)",128.28,769.68,641.4
Truffle pack of 6,81.82,490.92,409.1
Pack of 6 cracker chocolate (6x4x1),68.19,409.14,340.95
pack of 4 cracker chocolate,21.23,127.38,106.15
pack of 2 cracker chocolate,12.11,72.66,60.55
Combo of 2 cracker chocolate and 2 tealight candle,14.11,84.66,70.55
Besan 20g pouch,7.67,46.02,38.35
Khara 20g pouch,6.21,37.26,31.05
MILLET COOKIES 20g pouch,7.15,42.9,35.75
CRACKLY ALMOND OATS COOKIES 20g pouch,9.05,54.3,45.25
Coffee Bites 20g pouch,6.42,38.52,32.1
Farmley mixed nuts 21g,22.5,135,112.5
Tea pouch Teabox,7,42,35
Farmley Smoked BBQ nutes,22,132,110
Elephants tea light holder pack of 2,26,156,130
Elephants tea light holder,13,78,65
Functional Tote Bag,61,366,305
MDF Tray 16x10,327,1962,1635
Autistic society diya,24.92,149.52,124.6
Lasercut Metal Lantern,60,360,300
Craft Lantern,3.7,22.2,18.5
LED tealight candle (Neha) w/o box,8.5,51,42.5
2x2 handprinted diya (autistic),7,42,35
11 x 4.5 x 2.5 inch box - bougenvilla,56,336,280
13.5 x 7 x 3.5 inch box - blue,105,630,525
10 x 10 x 3 w cavity - Jaipur palace,149,894,745
10 x 10 x 3 w/o cavity - Jaipur palace,110,660,550
Greeting Card,2,12,10
Auspicious Lasercut Lantern,85,510,425
Flower Diya,20,120,100
Plain Tealight candle w/o box,1,6,5
Plain Tealight candle (pack of 4),6.92,41.52,34.6
Clay Diya,11,66,55
Plain Tealight candle pack of 2,4.14,24.84,20.7
Metal diya,5,30,25
10.5 x 9 x 3.75 pop out box,113.6,681.6,568
Peacock Paper Lamp open,7,42,35
Peacock Paper Lamp folded,7,42,35
Plantable Notebook (Marigold seeds),35,210,175
Block Print Diya,47,282,235
8.5x5x2.5 rigid box,58.6,351.6,293
11x7.5x2.5 rigid box with perforation,92.4,554.4,462
Combo of 1 LED tealight and 1 tealight,11.64,69.84,58.2
